order_id,customer_id,product_id,category,price,quantity,order_date,delivery_date,region,customer_type,payment_method,rating
621697ee-f717-4301-ac54-a66d81c90a71,050ca555-b46c-4be1-8305-1bfffdce2852,c4957d13-d38c-4b07-9d1e-aab94a388a89,Home,145.18,6,2024-05-30,2024-10-07,Cote d'Ivoire,Premium,Credit Card,4
e950d672-7c4d-41d0-8abc-c887d7367585,a90af9a2-17d7-4f35-a2f3-4cdc3e90ccf2,ac4bf668-146c-4f40-a806-b7fceae4ff7b,Clothing,164.18,7,2023-10-03,2024-09-25,Egypt,Premium,PayPal,5
34befcd7-9c78-41fb-b0ec-9b313b8281fd,2e440063-4597-4149-b0c3-8bd67aaf9469,54e2245f-b50b-4f8e-a595-b070da44c7e6,Clothing,167.08,10,2024-02-16,2024-09-26,Congo,Premium,Credit Card,5
0f59cf41-e9ad-4d29-b920-f09f60f54211,63e7dac2-9c61-492a-935f-1cb1e6739f85,25ce5293-a587-4eb5-a659-9fa316923bde,Clothing,74.25,3,2024-06-04,2024-10-14,Bouvet Island (Bouvetoya),New,Bank Transfer,1
c987f5c1-0b2b-436e-8fa9-d69ef3009854,f0f1d846-e353-4438-88f2-0479cf577d8c,ead18ecc-59fc-4167-a8cf-b380c46e814c,Toys,327.88,1,2024-07-24,2024-09-27,Bosnia and Herzegovina,New,Bank Transfer,1
e0ebc1fe-f54f-4a93-b174-609662ce2ccf,479030d2-da7e-4262-b373-1feb5ea4f984,38d81a9f-a808-44ba-a351-d4367e0199bb,Home,228.31,7,2023-11-11,2024-09-29,Cameroon,Premium,Credit Card,2
8e050d2c-7ef0-44c1-b1c3-7dba90b2e6e2,d623cab0-cb77-423a-bca2-b8e59dfafdca,50e1fbd0-6826-473e-957c-45bb36dc96aa,Books,245.57,4,2024-05-13,2024-10-14,Bosnia and Herzegovina,Premium,PayPal,2
92cc4452-dcd2-4f0e-bf2b-89d636738f6e,59fe5a46-7ffc-4c10-89cf-f48227489420,5d2065b6-08ca-46d3-965e-d38432a9ed89,Electronics,217.9,6,2024-02-25,2024-10-16,Liechtenstein,New,Credit Card,2
09cb538c-9201-4cec-8b05-db596369ac4f,6a9cb25c-a875-4d95-9cb9-1431b5bffb57,5b951b52-cafd-4dc3-8dfd-e54a88daf01e,Books,320.24,9,2023-10-29,2024-09-30,Nauru,Premium,PayPal,3
ba8ce6e3-2417-4e30-adb5-ee84be615120,bd9426ab-4a5d-457b-a214-1cc9b74fec93,ade1f205-a94e-4896-93ee-36625452877c,Books,201.02,9,2024-03-15,2024-10-04,South Georgia and the South Sandwich Islands,New,Bank Transfer,3
b77f555c-00b7-4dff-bcca-ac9d8c1352bf,ccb15958-41fd-4e49-8ea0-fe4f94b99578,7700c31e-8f5a-4cad-bf22-0e9c8aac754c,Home,202.09,9,2024-02-03,2024-09-27,Jamaica,New,Bank Transfer,1
fb590a18-80bd-40e4-a0fb-55390f4603ba,bc4ad45b-3248-495a-9bfc-ff33a1b8ba12,7faee0ab-cdfd-4606-bf61-31f9a748d864,Clothing,487.68,6,2023-10-01,2024-10-12,Dominica,,Bank Transfer,4
863dc900-794c-4fe0-8827-e628ecef6b68,ec56488d-edce-42f7-9eed-2676d0b4af08,8478c82f-e728-42b4-afb8-9c64f3fdad72,Clothing,73.33,4,2024-06-05,2024-10-09,Montenegro,Premium,PayPal,3
927d7fcd-5c99-4113-8462-8a3b12a105a4,c3a55f44-1064-451b-be8d-c97fe9609790,88c3c012-c07a-4781-9049-aa8bee779db1,Clothing,402.18,4,2024-02-02,,Maldives,New,Credit Card,3
652da31d-37c6-456f-85cd-0c3f8cda4949,1c47d158-23c4-41a2-8c04-47fde417153e,12499a47-5ee8-4161-9ce7-8c5956103ddf,Home,71.44,1,2023-11-01,2024-10-04,French Polynesia,Premium,Credit Card,2
2fb0aedb-850f-458e-bcdb-a76484895030,bb6a51cf-1b00-452a-9310-7daefd77817c,7ca8d78b-fc65-4116-b5b1-dce95da3ac0d,Clothing,180.26,5,2024-04-27,2024-10-08,Bulgaria,Regular,PayPal,5
ee335f03-19ba-4021-a0b0-e0459fb4de03,ba16beda-5ec9-4bbe-92fe-9ed48ee69de6,07163c27-eaaa-4f6d-a1e7-934bab9f3dad,Toys,481.77,2,2023-09-17,2024-09-26,Rwanda,Premium,Credit Card,2
a51fcfeb-a52c-4c80-bb1d-18189162f7e4,e981819d-14ee-4807-bfeb-0c1c9fec7336,52c449c6-698f-4dd1-aad9-976467f10ae8,Electronics,250.0,10,2024-01-08,2024-10-03,Angola,Regular,PayPal,2
503a6f5c-1142-4565-844a-f5920108613e,e1fcd0d0-5c48-4470-8ec0-837e87a14d88,dede73a4-d58b-46ed-a535-cd098a16a805,Books,33.58,3,2024-02-17,2024-09-22,Jordan,Premium,PayPal,3
cb0e61f9-87a3-47a6-8b33-7c02479141bd,2a7393b3-4f72-418b-88d0-e7e23b852005,b673ea9a-a6e7-49a6-8a3d-876b30eae354,Clothing,,2,2024-09-07,2024-10-01,Lebanon,Premium,Bank Transfer,4
c0119fb4-f806-4574-ae43-2cb1ef2759be,2f77df81-0a05-4237-a553-361d2eb62430,3db7ee65-ae9d-4d3a-a032-84e4413088b4,Toys,424.61,8,2023-11-28,2024-09-28,Egypt,Premium,Bank Transfer,1
2ed4103e-4d47-4ead-9fff-a57ebf2f37ad,11b3c3bb-8227-4b87-b789-7fe4e2578ce7,c0c20e43-5b98-4e81-9237-3f550348e67a,Clothing,374.85,5,2023-11-06,2024-09-23,Zambia,Premium,Credit Card,4
7d025e2b-ccf9-499e-9412-d36c5422d701,71f246b5-d194-4951-b083-9f0a897d3437,682679e3-641f-4190-ad4a-7d82a849c883,Toys,472.62,1,2024-06-06,2024-10-16,Sao Tome and Principe,New,Credit Card,2
bcca3a07-547b-42bf-8c41-838f13af77f3,4ed355e6-a658-4527-9d03-c8c31d4c9749,1899a072-05cd-47ec-badf-1f0c00eda1e9,Home,394.43,7,2023-12-15,2024-10-10,Tajikistan,Premium,Credit Card,3
1b7ba769-f002-41ee-90c0-bff3eb0ef268,3472a6ca-fcc3-4772-93f5-ba02b3f21d5a,ceba6af7-018d-4066-874c-8ffcb21c2c27,Electronics,21.55,8,2024-02-04,2024-09-17,Austria,Premium,Credit Card,2
c06dfff1-2917-4435-9218-29157994bdf3,baae459a-b46a-42c4-9a40-4d652c88658e,882db09c-da6f-4037-9bad-b6627cd16fd2,Electronics,315.75,3,2024-02-06,2024-09-25,Suriname,Regular,PayPal,1
aae1c65a-0dca-4353-9db0-b28d0429caa3,8e2aec1a-a395-454a-b302-9d9ff5c8c407,b51dbdb5-c23c-4806-acbc-c9aa030b5071,Home,221.58,5,2024-01-30,2024-10-03,Germany,Premium,PayPal,3
be7dc8ec-de4f-4464-86e4-a7fc6d6bf2e3,1e306be8-74f7-4779-b889-08742d9bcff0,58d26c64-dbb2-4953-a2ee-3a4f2226a54d,Home,405.08,4,2024-02-16,2024-09-29,New Zealand,Regular,PayPal,4
598f37ae-2cfa-4acb-977f-39f2df44c7f0,c82c0bfe-5025-410a-91ec-a69feecf1102,f66d1c52-28c3-47a4-bed2-cefe34dd2d26,Home,119.52,9,2024-06-01,2024-10-10,Bangladesh,Premium,PayPal,1
d74d415b-8421-4eb5-a701-19a85c6b522d,e0e64e1e-209e-49be-b426-dbe0b2e4ac23,d65cf752-e3a3-43ba-b55c-120cbf371e31,Toys,131.02,3,2024-01-15,2024-10-11,United States Minor Outlying Islands,Regular,PayPal,3
